session_num,participant,timestamp,engagement,of_AU01_c,of_AU02_c,of_AU04_c,of_AU05_c,of_AU06_c,of_AU07_c,of_AU09_c,of_AU10_c,of_AU12_c,of_AU14_c,of_AU15_c,of_AU17_c,of_AU20_c,of_AU23_c,of_AU25_c,of_AU26_c,of_AU28_c,of_AU45_c,of_gaze_0_x,of_gaze_0_y,of_gaze_0_z,of_gaze_1_x,of_gaze_1_y,of_gaze_1_z,of_gaze_angle_x,of_gaze_angle_y,of_pose_Tx,of_pose_Ty,of_pose_Tz,of_pose_Rx,of_pose_Ry,of_pose_Rz
0,1,0,    0.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.0000,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   -8.6346,  -59.1159,  748.5656,   -0.2486,    1.0719,    1.4205
0,1,0,    0.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  -12.2791,  -62.0957,  772.9424,   -0.3742,    1.1311,    1.3047
0,1,0,    0.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  -11.6357,  -47.7892,  674.8359,   38.7362,  -51.3762,  692.9507,    0.1280,    0.2406,   17.2846,  -24.7476,  884.7486,   -0.3559,    1.3884,    1.5040
0,1,0,    0.0000,    1.0000,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.0000,    1.0000,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,  -19.1127,  -46.3456,  674.3830,   32.3293,  -49.2965,  671.1919,    0.0958,    0.2808,    9.1914,  -22.1346,  853.1520,   -0.1750,    1.4558,    1.7016
0,1,0,    0.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    8.0590,  -22.7033,  854.0524,    0.0570,    1.4384,    1.9266
0,1,0,    0.0000,    1.0000,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,  -24.6911,  -56.2747,  665.5585,   26.2905,  -54.3388,  662.0726,    0.0700,    0.2800,   -1.1807,  -31.7656,  847.6509,   -0.9681,    1.4717,    0.9201
0,1,0,    0.0000,    0.0000,    1.0000,    0.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,  -32.9760,  -62.8826,  682.5722,   18.4509,  -59.3380,  661.4097,   -0.0112,    0.2499,  -10.4899,  -38.0715,  853.9922,   -2.4417,    1.5107,   -0.6082
0,1,0,    0.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,  -38.1332,  -55.7270,  697.3732,   13.7240,  -54.6236,  674.2792,   -0.0025,    0.3120,  -13.5539,  -28.3706,  841.6509,    2.4686,    1.5414,   -1.8976
0,1,0,    0.0000,    0.0000,    1.0000,    1.0000,    0.0000,    1.0000,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  -11.7724,  -24.4724,  802.9003,    2.3496,    1.5133,   -1.9915
0,1,0,    0.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,  -33.4163,  -49.9051,  698.0220,   18.0326,  -49.5236,  683.3951,    0.0390,    0.3168,   -8.7119,  -21.5543,  859.0190,   -0.2308,    1.5441,    1.7257
